 Haemophilus ducreyi,B03.440.450.600.450.125
 Burkholderia,B03.440.400.425.251.100.110.490
 Herpes Labialis,B04.280.382.100.750
 Vasoactive Intestinal Peptide,D12.776.543.750.100.665.750
 Longitudinal Studies,E05.318.760.500.750.500
 Neck Pain,C10.597.617.576
 Gliadin,D12.776.765.725.500.500.400
 Regeneration,G11.561.600.615.500
 Auranofin,D02.691.675.249.150
Parvoviridae Infections,C02.256.700
 Trastuzumab,@121106
 Refuse Disposal,N06.850.780.200.800.800.700
 Shame,F01.470.483.666
 Calcium Carbonate,D01.146.275
 Respiratory Tract Diseases,C08
 Quail,B01.050.150.900.248.350.650
 Id,D12.776.930.329.500
 Clothing,E07.662.500
 Barbados,Z01.107.084.900.140
 House Calls,N04.452.758.307
 Rhizosphere,G16.500.240.630
Volunteers,M01.774.500
Probability,E05.318.760.875
Pain Threshold,F02.463.593.710.560
Hybridomas,A11.251.353.485
Teaching Rounds,I02.358.399.644.500
 Warfarin,D03.383.663.283.446.520.914
 Chelating Agents,D065096
 Colloids,D003102
 Mood Disorders,F03.600
 Genetic Therapy,E02.095.301
 Amitriptyline,D02.455.426.559.847.181.384.100
 Inflammation,C06.130.564.263.249
Muscle Weakness,C05.651.515
 Lions,B01.050.150.900.649.147.600.670
carboxyl radical,@74198
 Benzodiazepines,D03.438.079.080
 Rhinovirus,B04.820.565.775
 Aspartame,D12.644.456.345.190
 Canaries,B01.050.150.900.248.620.750.250.150
 Amantadine,D02.455.426.100.050.035
Vibrio,D08.811.682.517.500
Mycobacterium tuberculosis,B03.510.024.049.525.500.702
 Dendritic Cells,A10.549.400.500.200
 Nerve Tissue,D12.644.276.087.802
 Greece,Z01.542.383
 Stalevo,@15119
Electricity,G01.358.500.249.820
 Malaria,D20.215.894.582.500
 lenalidomide,@220281
 Plantar Plate,A02.165.308.650
 Clostridium,B03.300.390.400.200.690
 Phosphoric Acids,D01.029.260.700.675
 Meningococcal Vaccines,D20.215.894.135.500
 Parasympatholytics,D010276
 Myelin Sheath,A08.637.600.500
 Ghana,Z01.058.290.190.320
 Breast,C05.116.099.739
 Sesamum,B01.650.940.800.575.100.583.690.750
 Unconsciousness,C10.597.606.358.800
 Drinking,C25.775.100.437
 Plant Preparations,D20.215.784
 Tardigrada,B01.050.500.901
 Enterocytes,A03.556.124.369.290
 Ponds,G01.311.718
 Virus Activation,G06.590.875.780.940
 Hydroxyurea,D02.948.395
 Dyspepsia,C23.888.821.236
 Biota,G16.500.275.157.049.100
 Arthralgia,C05.550.091
 Immunologic Tests,E01.370.225.812
 Condoms,E07.190.250.260
Mothers,D12.644.360.024.334
 Toxoplasma,C03.752.250.800.445
 Culture Techniques,E05.481.500.249.124
 Dental Pulp,E06.342.377
 Prokaryotic Cells,A11.760
Impetigo,C01.252.410.868.820.504
 Expectorants,D005100
 Pyrazoles,D03.383.129.539
 Nakajo syndrome,@207101
 Neck Muscles,A02.633.567.650
 Nonprescription Drugs,D26.530
 Dengue,D20.215.894.899.162
 Marijuana Smoking,F01.145.588
 Bacteriocins,D12.776.097.151
 Persuasive Communication,L01.143.762
 Sea Urchins,B01.050.500.408.578.800.600
 Epilepsy,C10.228.140.490.360.272
 Pentobarbital,D03.383.742.698.253.593
 Cyclopentanes,D02.455.426.392.368.450
 Prostitution,F01.145.802.790
 Papain,D08.811.277.656.262.500.585
 shellac,@157799
 Attitude,F01.100.150
Nursing Homes,N02.278.825.610
 Drug Users,M01.169
 Skin,E02.547.800.500
 Genetic Code,G05.360.335
 Benztropine,D02.145.074.722.270
 Risk Assessment,E05.318.740.600.800.715
Voice,L01.224.900.889
 Thymol,D02.455.849.575.875
Boswellia,B01.650.940.800.575.100.162.111
 Loa,B01.050.500.500.294.700.750.700.300.410
 Tobacco Use Disorder,C25.775.912
 Drug Hypersensitivity Syndrome,C17.800.174.600.262
 Piper,B01.650.940.800.575.100.812.666.374
 Child Custody,I01.880.787.293.370
Bronchitis,C08.127.446.567
 Household Products,J01.516
Product Packaging,J01.576.761
 Catholicism,K01.844.188.250
 Health Facilities,N02.278.215
 phthalic acid,D02.113.600
Cooking and Eating Utensils,J01.494.300
 South Sudan,Z01.058.290.120.745
 Nasal Decongestants,D014663
 Cymbopogon,B01.650.940.800.575.100.822.266
 Gift Giving,F01.145.813.208
 Erythema,C17.800.174.600.587
Pharmaceutical Solutions,D26.776.708
 Pakistan,Z01.252.245.723
 Van der Woude syndrome,@185915
 Smartphone,L01.178.847.698.300.250
 Coffee,B01.650.940.800.575.100.401.718
 Viridiplantae,B01.650.940
 Paraffin,E01.370.225.500.620.720.610
 Arabinofuranosyluracil,D03.383.742.680.852.150
 American Medical Association,N03.540.828.589.274
 Critical Care,H02.478.676.175
 Cluster Headache,C10.228.140.546.399.937.500
 Checklist,N05.715.360.300.179
 Lawyers,M01.526.520
 Cold Temperature,G01.906.595.272
 Holidays,I03.450.345
 Viscosity,G02.842.925
 Frankincense,D05.750.078.840.490
 Lower Extremity,A02.835.232.043
 Abortifacient Agents,D000021
Immune System,G12.450.800
 Back Injuries,C26.117
 Nervous System,D002492
 Symbolism,K01.400.899
Horses,B04.820.504.080.500.100
 Escherichia coli Infections,C01.252.400.310.330
 Heating,N06.230.150.300
 Phenylmercury Compounds,D02.691.750.740
 Asian Continental Ancestry Group,M01.686.508.200
 Taenia solium,B01.050.500.500.736.215.895.775
 Solar System,G01.060.249.730
 Drive,F01.658.293
 Amino Acid Motifs,G02.111.570.060.040
 Kellis,@170283
 Invertebrates,B01.050.500
 Tussilago,B01.650.940.800.575.100.100.958
 Pupil,C10.597.690.362
 Lactobacillus fermentum,B03.353.750.450.475.325
 Azithromycin,D02.540.576.500.992.050
 peppermint oil,B01.650.940.800.575.100.583.520.483.444
Costs and Cost Analysis,N03.219.151
 Type VI Secretion Systems,D05.500.890.500.984
 Uvula,A08.186.211.132.810.428.200.212.299
 Leishmaniasis,D20.215.894.582.480
 Condiments,G07.203.300.250
 Pacific Islands,Z01.639.760
 Sleep Apnea Syndromes,C08.618.085.852
 Chad,D08.811.682.047.820.150.707
 Neoplasms,C04.588.180.788
 Tetanus,D20.215.894.135.535.295
 Bandages,E07.101.400
 Poaceae,B01.650.940.800.575.100.822
 Codonopsis,B01.650.940.800.575.100.171.200
 Ranidae,B01.050.150.900.090.180.708
 Professionalism,K01.752.566.479.171.566
 Imagination,F02.463.188.634
 Brain Waves,E01.370.376.300.150
 Needlestick Injuries,C26.986.950.500
 Stereotypic Movement Disorder,F03.625.984
 Hepacivirus,B04.450.410
 Pseudomonas Infections,C01.252.400.739
 Lactose Intolerance,C06.405.469.637.506
Hydrocarbons,D02.455.426.559.847
 Y Chromosome,C16.320.338
Tooth Eruption,C07.793.790
 Tetrahymenina,B01.043.185.650.375.750
 Multimedia,J01.897.280.500.633
 Spouses,F01.829.263.500.660
 Scotland,Z01.542.363.766
 Prunus armeniaca,B01.650.940.800.575.100.842.500.625.375
Population Control,I01.240.600.650
 Methylprednisolone Hemisuccinate,D04.808.745.432.769.795.539.500
 Pulmonary Emphysema,C08.381.495.389.750
 Cell Respiration,G03.495.278
 Lymphatic Diseases,C15.604
 Volatile Organic Compounds,D02.974
 Scapula,A02.835.232.087.783.450
 Myocardium,C14.240.400.660
 Health Status,I01.240.425.675
Clothing,E07.662.500
 Chikungunya virus,C02.782.930.100.184
Adenoviridae Infections,C02.256.076
 Physical Exertion,G11.427.590.780
 Physicians,M01.526.485.810.800
 Mental Health,I01.409.418.750.600.650.920
 Life,E02.365.152
 Mycoplasmatales,C01.252.400.610
 Tinnitus,C09.218.458.670
Defamation,I01.198.240.240
Tooth Abnormalities,C07.650.800
 Kansas,Z01.107.567.875.510.390
 Skin Tests,E01.370.225.812.871
Nuts,B01.650.940.800.575.100.831.500
 Freezing,F01.145.113.555
 Tumor Necrosis Factors,D12.644.276.374.750
 Mitomycin,D02.806.400.249.350
 Muramidase,D08.811.277.450.642
 Head,E01.370.382.900.640
 Sunburn,C17.800.600.725
 Beak,B04.280.120.150
 Artemisinins,D01.248.497.158.685.750.212
 Parapsychology,F02.550
 Cephalosporins,D02.065.589.099.249
 Rosaniline Dyes,D02.092.146.755
 Measles virus,D12.776.543.512.500
 Corrosion,E01.370.225.500.620.620.150
 Infertility,G15.649
 Antibodies,D12.644.541.500.650.500.900
 Bioelectric Energy Sources,E07.305.124.150
 Jupiter,G01.060.249.730.700.412
 Lymphoid Tissue,D12.644.276.374.200.110.890
 Periodontal Diseases,C07.465.714
 Viral Proteins,D12.776.964.925
 Seeds,A18.550
 Retinitis,C09.218.458.341.186.500.500
 Serpins,D12.644.861
 Riboflavin,D08.811.913.225.750
 Monoglycerides,D10.351.676
 Probiotics,G07.203.300.456.500
 Sweat,E02.056.902
 Demography,F01.829.263.315
 Traction,E04.555.720
 Phyllanthus,B01.650.940.800.575.100.350.622.500
 Laughter,E02.190.525.311
 Enterovirus Infections,C02.782.687.359
 State Medicine,N03.349.550.902
 Dihydroergotamine,D03.132.327.412.225
 Prevalence,Y09.010
 Anthozoa,B01.050.500.308.237
 Bacterial Processes,G06.099.112
Hematologic Tests,E01.370.225.625
 Epinephrine,D02.033.100.291.310.500
 Foxes,B01.050.150.900.649.147.153.250
 Lavandula,B01.650.940.800.575.100.583.520.428
 Nanocapsules,D26.255.260.575
Tobacco Use Disorder,C25.775.912
 Sexism,F01.145.813.550.750
 Burundi,Z01.058.290.120.180
 Breakfast,F01.145.407.432.500.100
New Zealand,B01.650.940.800.575.100.773.713
 Cytokines,D12.644.276.374.200
Pollen,A18.024.249.500.249.500.500
Heart,E07.132.750.249
 Bass,B01.050.150.900.493.602.105
 Dancing,C04.588.614.550.600
Robotics,H01.671.293.643
 Cinchona,D03.132.206
 PubMed,L01.313.500.750.280.750
 Autopsy,E01.370.060
 Heart Ventricles,E04.050.430
 Alberta,Z01.107.567.176.064
 Doxylamine,D03.383.725.259
 Listeria,C01.252.200.500.500
 Metronidazole,D02.640.672.500
 Malawi,Z01.058.290.175.500
 Antioxidants,D000975
 Disabled Persons,N02.421.314
 Body Mass Index,E01.370.600.115.100.125
 Cell Fusion,D27.505.519.957.500
 Streptococcus agalactiae,B03.353.750.737.872.100
 Online Systems,L01.313.500.750.300.742
Bangladesh,Z01.252.245.131
 Blood Glucose,E01.370.225.124.100.105
 Cleft Palate,C12.706.316.096.750
 Football,I03.450.642.845.300
 Psidium,B01.650.940.800.575.100.773.888
 Eye Infections,C02.325
 Utah,Z01.107.567.875.760.800
Adipose Tissue,A10.165.114.830
Weapons,D20.215.226
 Trifolium,B01.650.940.800.575.100.401.906
 Cytomegalovirus Infections,C02.256.466.245
 Plant Development,G07.700.320.625
 Schools,I02.783.495.836
 Glossalgia,C07.465.910.280
 Tail,E05.472.760.370
 Morbidity,Y09.010
 Hemiptera,B01.050.500.131.617.412
Life,E02.365.152
 Parrots,B01.050.150.900.248.710.672.050
Missionaries,M01.427
 Vitamin A,C18.654.521.500.133.628
 Eclampsia,C13.703.395.249
 Satellite Viruses,B04.265.658
 Olfactory Receptor Neurons,A04.531.520.573.580
 Advisory Committees,N03.706.742.500
 Otitis,C01.539.830.694
 Muscle Fatigue,G11.427.550
 Sexual Partners,M01.778
 Vitamin D,D08.244.453.978
 Phlebotomy,E01.370.225.998.110.625
 Environmental Health,I01.409.418.750.600.480.455
Beekeeping,J01.040.207
 Moles,C04.557.665.560.615
 carvacrol,D02.092.668.387.500
 Chronic Disease,N02.278.421.556.200
 Chromosome Disorders,C12.706.316.795
Patient Discharge,N04.452.859.564.725
 Violaceae,B01.650.940.800.575.100.962
 Cell Cycle Proteins,D12.776.167
 United Arab Emirates,Z01.252.245.500.900
 Erythrocytes,A11.118.290.330
 Premenstrual Syndrome,C23.550.568.968
 Opportunistic Infections,C01.539.597.050
 Joint Prosthesis,E04.555.110.110
 Heart Conduction System,A07.541.409
 Ovalbumin,D12.776.260.643.039.249
 Sciatica,C10.597.617.682.800
 Breath Holding,G09.772.770.755.349
 Rhabdoviridae,C02.782.580.830
 Passive Cutaneous Anaphylaxis,E01.370.225.812.871.600
 Fibromyalgia,C02.330
Whiplash Injuries,C26.700.500
 Aging,I03.050.500
 Ankle,C26.404.014
 Food Contamination,J01.576.423.850.730.500.249.250
 Orthomyxoviridae,C02.782.620
 Salix,B01.650.940.800.575.100.881.833
 Chicago,Z01.107.567.875.350.350.200
 zolmitriptan,@132851
 Chloral Hydrate,D02.033.455.250.130
 Immune Tolerance,G12.425.746.425
 Leukocyte Count,E01.370.225.500.195.107.595
 bushi,@180099
Research Personnel,M01.526.839
 propylene,D26.776.708.645.500
 Polymers,D05.750.327
 penciclovir,@80757
 Vagina,C04.588.945.418.955
 Sharks,B01.050.150.900.493.370.853
Pregnancy,C13.703.733.640
 Raw Foods,G07.203.300.737
 Resistance Training,E02.779.483.875
Birds,B01.050.150.900.248.815
Phobic Disorders,F03.080.725
Flavivirus,C02.782.350.250
 rizatriptan,@96771
Pseudoephedrine,D02.033.100.624.853
 Scarlet Fever,C01.252.410.890.823
 Gastroenterology,H02.403.429.405
 Veterinary Drugs,D26.939
 Chromans,D03.383.663.283.240
 Plantago,B01.650.940.800.575.100.025.033.044
Anxiety Disorders,F03.080
Environment,G05.695.337
 Elbow Joint,A02.835.583.290
 Osteoarthritis,C05.116.900.853.625.399
 Hispanic Americans,M01.686.754.441
 Lignans,D02.455.426.559.389.140.450
 Lepidoptera,B01.050.500.131.617.561
 Magnetic Fields,G01.358.750
 Drug Resistance,G06.225.383.500
 Curcumin,D02.455.326.146.485.222.222
 Tasmania,Z01.639.100.984
 Diuretics,D004234
Empathy,F01.752.355
 Sugar Phosphates,D09.894
 Methylmethacrylates,D02.241.081.069.800.550
 Catfishes,B01.050.150.900.493.080.148
 carbenicillin indanyl,@211605
 Enterobacter aerogenes,B03.440.450.425.275.099
 Paranasal Sinuses,A04.531.621
Viola,B01.650.940.800.575.100.962.888
 Cholera,D20.215.894.135.225
 Electrosurgery,E04.262
 Diplopia,C10.597.751.941.339
 Pressure Ulcer,C17.800.893.665
 Apathy,F01.470.137
 Epidemics,Y09.010
 Marsupialia,B01.050.150.900.649.573
 Nociceptors,A08.675.650.915.875
Hand,D27.505.954.122.187.500
 Peptones,D12.776.719
 Medicare,N03.109
 Suggestion,E02.190.525.217.771
 Middle East Respiratory Syndrome Coronavirus,B04.820.504.540.150.540
 Hookworm Infections,C03.335.508.700.775.455
 Molecular Weight,D12.644.848.750
 Solanaceae,B01.650.940.800.575.100.905
Rest,E06.276.459.733
 Algorithms,G17.035
 Frozen Foods,G07.203.300.521.500
 Poisons,D011042
DNA,A11.284.295.495
 Fertilizers,D005308
 Chiroptera,B01.050.150.900.649.225
 Hyoscyamus,B01.650.940.800.575.100.905.274
 Spider Bites,C25.723.127.723
 Product Recalls and Withdrawals,N06.850.210.637
 Singing,G09.772.770.680.500
 Synapses,A11.284.149.165.420.548
 Urofollitropin,D06.472.699.322.576.583.500
 Lysergic Acid Diethylamide,D03.132.327.287.572.522
 Phenylenediamines,D02.092.146.651
 Planets,G01.060.249.730.600
 Human Body,I01.076.201.450.560
 Subarachnoid Space,A08.186.566.166.686
 Syria,Z01.252.245.500.795
 Chloroplasts,A11.284.430.214.190.875.700.140
 Dysentery,C01.252.400.310.229
 Hormone Replacement Therapy,E02.319.452
 Grooming,F01.145.113.111.453
 Paresis,C10.597.622.714
 Herbicides,D006540
 Perinatology,H02.403.670.500
 Droughts,G16.500.240.135.781
 Diphenoxylate,D03.066.399.300
 Micronesia,Z01.639.760
 Glucose,D09.301.662
 Wood,B01.650.940.800.575.100.789
 Intestinal helminthiasis,@221961
 Kidney Diseases,I01.409.418.750.600.480.450
 Symbiosis,C23.550.308
 Urticaceae,B01.650.940.800.575.100.950
 Brain Mapping,E01.370.350.578.875.500
 Ireland,Z01.542.363.602
 Jaundice,C23.550.429.500.755
 Cytokinesis,G04.299.134.220.250
 Operating Tables,E07.325.662
 Eupatorium,B01.650.940.800.575.100.100.843
 Bromovirus,B04.715.081.080
 Breath Tests,E01.370.100
Weapons of Mass Destruction,J01.637.870.900
 Ecchymosis,C15.378.100.452
Cilia,A08.675.650.850.625.670.049
 becatecarin,@221276
 Dental Occlusion,C07.793.494.293
 Vocabulary,L01.453.245.945
Hot Flashes,C23.888.475
 Melanosis,C17.800.621.430.530
 Gait,C10.597.404.400
 Governing Board,N04.452.394
 Particulate Matter,D20.633
 Motion Sickness,C23.888.571.800
 Muscle Weakness,C05.651.515
 fibrin fragment D,@215451
 Illinois,Z01.107.567.875.350.350
 Fructose,D09.301.662
 Rabies Vaccines,D20.215.894.899.700
 Drosera,B01.650.940.800.575.100.329.500
 Bacterial Proteins,D12.776.097
 Triage,N02.421.297.900
Mummies,I01.076.368.584.500
 Trinitrotoluene,D02.455.426.559.389.832.868
 Aneurysm,C05.660.207.532
 Aspergillus,D08.811.277.352.355.350.725
 Emergency Medicine,H02.249.750.500
 Nystatin,D02.540.505.575
 Carbon Monoxide,C25.723.455.245
 Virus Attachment,G06.590.875.715
 Water Pollution,N06.850.460.790.460
 Family Characteristics,F01.829.263.315
 Law Enforcement,I01.880.604.594
 Dacarbazine,D02.925.200
 Health Personnel,M01.526.485
 Rickettsia rickettsii,B03.440.647.650.650.650
 Gulf War,I01.880.735.950.250.657
Running,C10.228.140.490.450
 Coronavirus,B04.820.504.540.150.540
Surgical Instruments,E07.858.700
 Pollination,G08.686.785.760.743
 Patient Selection,E05.581.500.653
 Mythology,K01.517.647
 Reward,F02.463.425.770.836
 Encephalitis,C04.588.614.550.112
 Calcium,D065096
Blister,C02.256.466.382.316
Latex,C20.543.600
 Coloring Agents,D005505
 Newfoundland and Labrador,Z01.107.567.176.540
 Snacks,F01.145.407.432.500.775
 Glare,G01.590.540.333
 Mobile Health Units,N02.278.421.702
 Respiration,E01.370.600.875.875
 Monks,M01.526.799.750
 Ginger,B01.650.940.800.575.100.096.233
 mycophenolate mofetil,@193421
Agar,E01.370.225.875.220
 Family Relations,F01.829.401.550
 Glucose Oxidase,D08.811.682.047.239
 Borrelia burgdorferi,B03.440.425.410.711.193.150.125
 Methicillin,B03.300.390.400.800.750.100.500
 Female,D005300
 Thymus Plant,B01.650.940.800.575.100.583.520.974
 Child Psychiatry,F04.096.544.193
 Fear,F01.470.132.300
 Palliative Care,H02.403.645
 Hominidae,B01.050.150.900.649.801.400.112.400
 Inflammatory Bowel Diseases,C06.405.205.731
 Nitric Oxide,D020030
Facial Pain,C10.597.617.894
 Gastric Mucosa,A03.556.875.875.440
 Manufactured Materials,J01.637
Leg,C05.116.511
 Cholestasis,C06.130.120.135.250.125
 United States Virgin Islands,Z01.107.084.900.970
 Anthocyanins,D03.383.663.283.266.450.087
 Laurus,B01.650.940.800.575.100.590.399
 Lysosomes,A11.284.430.214.190.875.190.550
 Parents,M01.106
 Jamaica,Z01.107.084.900.525
 Mathematics,H01.548
 docetaxel,@102579
iodized salt,@211642
 Miosis,C10.597.690.362
 Irritants,D007509
Norovirus,B04.820.095.550
 Prisoners of War,M01.729.500
 Fisheries,J01.040.168.300
 Bereavement,E02.760.905.400
 Tigers,B01.050.150.900.649.147.354.600.800
 buprofezin,@95835
 Indans,D02.455.426.559.847.486.487
 Floors and Floorcoverings,J01.086.339.140
Radiology,Y04.020
 Pacific States,Z01.107.567.875.580
 Jordan,Z01.252.245.500.400
 Glucuronic Acid,D02.241.081.844.915.162.249
 Songbirds,B01.050.150.900.248.620.750
 Environment Design,I01.283
 Singapore,C02.081.270.200
 Boredom,F01.470.192
 Penis,A08.800.800.720.450.680
 nas,N03.540.052.500
 Spermatozoa,A05.360.490.890
 Wheelchairs,E07.796.980
 Indiana,B04.820.455.750.900.900
 Spinal Stenosis,C05.116.900.825
 Allergens,D23.050.181
 Spiritual Therapies,E02.190.901
 Gambling,F01.145.722.408
 Food Services,J01.576.423.500
 Hallucinogens,D006213
 Glaucoma,C11.204.497
 Macrostomia,C07.465.525.480
 Germination,G07.700.320.625.249
 Tuberculin,E01.370.225.812.871.800
 Rhizobium,B03.440.400.425.700.800.337
 Cadmium Compounds,D01.142
Toothpastes,D25.376.711
 Amoeba,B01.046.500.100.700.089
 Cartilage,A02.165.407.325
 Smoke,I01.655.249
 Islands,Z01.107.084.900.182
 Phosphoproteins,D12.776.744
 Textiles,J01.576.655.937.800
 Anesthetics,D019162
 Mastectomy,E04.466.823
 Endometriosis,C13.351.500.163
Awards and Prizes,K01.150
 Genome Size,G05.360.340.037
 Melanoma,D12.776.395.550.550.249
 Mastication,G07.203.650.593.260.500
 Nematoda,B01.050.500.500.294
Disclosure,F01.829.401.046
Respiratory Tract Infections,C01.539.739
Ceremonial Behavior,F01.145.813.097
 Spinal Cord Diseases,C10.228.854
Aquatic Organisms,B05.080
 Genetic Research,H01.158.273.343.249
 Breast Neoplasms,C04.588.180.788
 Wasps,B01.050.500.308.361
Nitrazepam,D03.438.079.080.070.565
 Mirage,@117639
 Spinacia oleracea,B01.650.940.800.575.100.200.800
 Carbuncle,C01.252.410.868.820.270.200
 Geography,H01.277.500.097
 Senegal,Z01.058.290.190.710
 Biotin,C16.320.565.100.620.380
 Soy Milk,G07.203.100.712.500
 Albuterol,D02.033.100.291.057
Buttocks,A01.378.610.100
 Cataloging,L01.453.245.250
 Whales,B01.050.150.900.649.189.267.920
 Travel,N04.452.758.377.968
 Nickel,D02.241.081.251.150
 Hepatitis,C06.552.195.200
Illusions,F02.463.593.446.659
 Referral and Consultation,N04.452.758.849
 Yeasts,B01.300.930
 Dental Pellicle,A14.549.167.900.255.500
Hardness,E05.417
 Cesarean Section,E04.520.252.500.150
 Phenol,D02.455.426.559.389.657.595
 Analgesia,E03.091.430
 Behavioral Sciences,F04.096
 Alanine Transaminase,D08.811.913.477.700.347
 Protein S,D12.644.276.087.802
 Ice Cream,G07.203.300.350.400
Levofloxacin,D03.438.810.835.322.500.500
 Hallux Limitus,C05.330.488.300
Klebsiella pneumoniae,B03.440.450.425.425.600
 Terpenes,D02.455.849
 Introduced Species,B01.050.050.580
 Pediatrics,H02.403.670
 Bacterial Load,E01.370.225.875.150.115
 Psychosurgery,E04.525.600
 Transients and Migrants,M01.920
 Stem Cells,A11.329.830.500
 Ruthenium Ben,@212475
 thymoquinone,@57343
 Eugenics,K01.400.307
 Glutamic Acid,D12.125.067.625.349
 Colitis,C06.405.205.265.173.750
 Population Density,N01.224.600
 Borago,B01.650.940.800.575.100.150.188
 Baseball,I03.450.642.845.110
 Sequoia,B01.650.940.800.575.400.122.855.788
DNA Repair,G02.111.087.219.700
 Antirheumatic Agents,D018501
 Thirst,F01.658.293.787
 tofacitinib,@207636
 PPAR alpha,D12.776.826.239.500
 Cholesteatoma,C09.218.200
Head,E01.370.382.900.640
 Interior Design and Furnishings,J01.086.339.290
 Amebiasis,C01.539.830.025.020.455.460
 polycarbonate,@147031
 Sodium Glutamate,D12.776.157.530.200.249.500.500
 Dependovirus,B04.280.580.650.170
 Rehabilitation Centers,N02.278.035.128.800
 Radioactive Waste,D20.693.638
 Autistic Disorder,F03.625.164.125
 Fungi,Y05.070
Protective Devices,E07.662.750
 Muscle Tonus,G11.427.565
 Feces,C06.405.469.531.424
 locust bean gum,@227805
 Reoperation,E04.708
 Levodopa,D02.092.311.200.480
 Reproductive Health,N01.400.625
 Information Centers,L01.346
 Nuns,M01.526.799.875
 Sucrose,D08.811.277.450.114
 Tongue,B01.050.500.131.365.640
 Rotavirus,D20.215.894.899.760
 Laryngitis,C08.360.535
 Probability,E05.318.760.875
 Variola virus,B04.280.650.160.650.930
 Holistic Health,E02.190.321
Biological Processes,G16.100
 Pastoral Care,F02.784.176.560
 Protein Methyltransferases,D08.811.913.555.500.800
 Crying,F01.145.209.530.258
 Signal Transduction,G02.111.087.800.480
 Romania,Z01.542.248.764
 Friction,G01.374.618
 Eikenella,B03.440.450.400
 Polyvinyl Chloride,D02.455.326.271.884.533.565
 Nanostructures,J01.637.512
 Periaqueductal Gray,A08.186.211.132.659.413.875.595
 Cattle,C02.782.580.600.500.700
 Glycogen Storage Disease Type VI,C16.320.565.202.449.580
 Manitoba,Z01.107.567.176.410
 Agriculture,J01.040.895
 Behavior Therapy,F04.754.137.428
 Onions,B01.650.940.800.575.100.610.100.600
 Lithium,E07.632.490.490
 Basketball,I03.450.642.845.117
Catha,B01.650.940.800.575.100.197.155
 Trace Elements,D014131
 Fluorometholone,D04.808.745.432.719.349
 Heart Murmurs,C23.888.447
Railroads,J01.937.690
 Aza Compounds,D02.145
 France,I01.880.735.950.250.563
 Faith Healing,E02.190.901.155
 Longevity,G07.540
 Catechols,D02.455.426.559.389.657.166
 Ecotoxicology,H01.158.273.248.500
 Penicillinase,D08.811.277.087.180.697
 Peru,Z01.107.757.702
Sodium Chloride,D049993
Gastrointestinal Diseases,C06.405
Crutches,E07.858.442.281
 Libido,F02.739.794.511
 Trauma Centers,N02.278.216.500.968.336.500
Immune Evasion,G06.590.470.400
Thumb,A02.165.308.575
 Factor V,D12.776.124.125.300.300
 Etanercept,D12.776.124.486.485.114.619.393.261
 Cell Proliferation,D12.776.930.325
 meropenem,@92332
 Perinatal Death,C13.703.572
 Kinetics,G03.787
 Apium graveolens,B01.650.940.800.575.100.075.099
 Adalimumab,D12.776.124.486.485.114.224.060.250
 Flaviviridae,C02.782.350
 Flowers,D20.215.784.500.087
 Organ Size,E01.370.600.115.100.660
Neisseriaceae,C01.252.400.625
 Melatonin,D12.776.543.750.100.440.750
 Knee,N04.761.559.590.399.500
Whistleblowing,F01.145.813.963
 Lymphoma,C04.557.386.435
 Inflorescence,A18.024.249.500.624
 Blood Coagulation,D08.811.913.050.200.800.300
 Power Plants,E07.305.437.600
 telithromycin,@53579
 Insect Bites and Stings,C25.723.127.071
 Influenza Vaccines,D20.215.894.899.302
 Attention Deficit Disorder with Hyperactivity,F03.625.094.150
 Product Labeling,J01.576.761.700
 Microvilli,A11.284.180.565
 Tobacco,F01.145.958
 Dextromethorphan,D03.132.577.249.200
 Salts,D03.383.129.617.700
 Conservation of Natural Resources,J01.256
 Massage,E04.580.450.802
 Benzothiazoles,D03.383.129.708.089
 Urinary Bladder Diseases,C12.777.829
 Citric Acid,D02.241.081.901.434.249
 Breathing Exercises,E02.190.525.186
 Rennie,@150771
 Agrobacterium,B03.440.400.425.700.024
 Bipolar Disorder,F03.084.500
 Muromegalovirus,B04.280.382.150.500
Iris,C11.204.497
 Saudi Arabia,Z01.252.245.500.750
 Shoes,J01.637.215.800
 Communication,F01.145.209.719
 Deer,B04.280.030.080
 Immunosenescence,G07.700.320.124.390
 Salinity,G02.640.500
 Suppuration,C01.539.830
 Malassezia,B01.300.381.522
 Femoral Artery,A07.231.114.351
Time,E05.318.760.500.931
 potash,B05.080.750
 Parental Leave,N01.824.417.700.162.500
 Language Tests,F04.711.400
 Lactobacillus acidophilus,B03.353.750.450.475.100
 Irritable Mood,F01.470.047.110
 Heptoses,D09.546.286
 Sleep Initiation and Maintenance Disorders,C10.886.425.800.800
Eyebrows,A01.456.505.420.338
Columbidae,B01.050.150.900.248.165.150
 Puma,B01.050.150.900.649.147.354.630
Blood Glucose,E01.370.225.124.100.105
 Orthotic Devices,E07.858.442.743.659
 Betaretrovirus,B04.613.807.124
Epilepsy,C10.228.140.490.360.272
 lavender oil,@170870
 Food Inspection,J01.576.423.850.730.500.500
 Minnesota,F04.711.647.513.607
 Butyrates,D02.241.081.114
 North America,Z01.107.567
 Dietary Fiber,G07.203.300.400
 Viola,B01.650.940.800.575.100.962.888
 Physician Executives,M01.526.070.700
 Bacillus anthracis,B03.300.390.400.158.218.151
 American Civil War,I01.880.735.950.250.188
 Parkinson Disease,C10.228.140.079.862
 Registries,E05.318.308.970
 Panic,F03.080.700
 Nasal Sprays,J01.637.847
