#../projects/marine/res_1.txt
00000000|Male|C0086582|129927|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: men||MM
00000000|Humans|C0086418|129927|CT|CT Text Lookup: men||MM
00000000|*Influenza, Human|C0021400|983319|MH|RtM via: Influenza;RtM via: Swine influenza;RtM via: novel 2009 influenza A (H1N1) infection;RtM via: Influenza due to Influenza A virus subtype H1N1;Forced Leaf Node Lookup:influenza|TI|MM;RC|12597^9^0;12030^9^0;11863^9^0;11527^9^0;10997^9^0;10576^3^0;10742^3^0;10424^3^0;9904^3^0;9835^3^0;9542^3^0;9560^3^0;9059^3^0;8937^3^0;8368^3^0;8168^3^0;7531^3^0;7458^3^0;7013^3^0;6728^3^0;6636^3^0;6509^3^0;6380^3^0;6280^3^0;6148^3^0;4895^3^0;4342^3^0;4028^3^0;3904^3^0;3418^3^0;3054^3^0;2776^3^0;2643^9^0;2765^9^0;2409^3^0;2510^3^0;2371^3^0;2148^3^0;2006^3^0;1737^3^0;1210^3^0;943^3^0;748^3^0;669^3^0;74^3^0;2719^17^0;3078^8^0
00000000|*Influenza A Virus, H2N2 Subtype|C1620282|900291|MH|RtM via: Influenza A Virus, H2N2 Subtype;Forced Lookup:h2n2;checkForceMH Boosted|TI|MM|7661^12^0
00000000|*Antibodies, Viral|C0003253|840129|MH|RtM via: Antibodies, Viral;RtM via: Influenza antibody;checkForceMH Boosted|TI|MM;RC|4362^5^1;4374^10^1;12172^8^1;12197^18^1
00000000|*Antibodies, Blocking|C0282682|760032|MH|RtM via: Enhancing Antibodies;Forced Leaf Node Lookup:enhancing antibodies;checkForceMH Boosted|TI|MM|8449^20^0
00000000|*Influenza A virus|C0029347|652734|MH|RtM via: Influenza A virus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:influenza a viruses|TI|MM;RC|12398^19^0;11085^17^0
00000000|*Vaccines, Inactivated|C0042212|613095|MH|RtM via: Vaccines, Inactivated;checkForceMH Boosted|TI|MM;RC|11325^11^1;11358^7^1;7446^11^1;7462^8^1
00000000|*Immunodominant Epitopes|C0079600|591558|MH|Forced Leaf Node Lookup:immunodominant antigens;checkForceMH Boosted|TI|MM|5356^22^0;5914^22^0
00000000|*Influenza A Virus, H1N2 Subtype|C2718048|591558|MH|Forced Lookup:h1n2;checkForceMH Boosted|TI|MM|2924^4^0;2986^4^0;3255^4^0;7835^4^0;8506^4^0;8899^4^0;11271^4^0
00000000|*Tin|C0040238|591558|MH|Forced Leaf Node Lookup:tin;checkForceMH Boosted|TI|MM|571^3^0
00000000|*Antibodies, Monoclonal|C0003250|505641|MH|RtM via: Monoclonal Antibodies;RtM via: Monoclonal antibodies, antineoplastic;checkForceMH Boosted;Forced Non-Leaf Node Lookup:monoclonal antibodies|TI|MM;RC|3720^21^0;3714^4^0
00000000|*Antigen Presentation|C0206431|418383|MH|RtM via: Antigen Presentation;RtM via: Antigen Processing;Forced Leaf Node Lookup:antigen processings|TI|MM|5530^18^0
00000000|*Plasma Cells|C0032112|417042|MH|RtM via: Plasma Cells;Forced Leaf Node Lookup:plasma cells|TI|MM|12550^12^0;11816^12^0
00000000|*Antigen-Presenting Cells|C0003315|352734|MH|RtM via: Antigen-Presenting Cells;Forced Dashed Lookup:antigen-presenting cells|TI|MM|5583^24^0
00000000|*Epitopes|C0003316|349254|MH|RtM via: Epitopes;checkForceMH Boosted;Forced Non-Leaf Node Lookup:epitopes|TI|MM|12379^7^0;9386^7^0;3161^8^0;3201^8^0;3186^8^0
00000000|*Antibody Formation|C0003261|345615|MH|RtM via: immunoglobulin secretion;Forced Leaf Node Lookup:antibody responses|TI|MM;RC|10224^18^0;11498^18^0
00000000|*Language|C0023008|333318|MH|RtM via: Languages;RtM via: dialect;Forced Leaf Node Lookup:languages|TI|MM|1274^9^0;1288^8^0
00000000|*Translational Medical Research|C1519620|329319|MH|RtM via: Translational Medical Research;RtM via: Translational Research;Forced Leaf Node Lookup:translational medicine|TI|MM|10861^22^0;10853^21^0
00000000|*Virus Internalization|C1537068|324018|MH|RtM via: Virus Internalization;Forced Leaf Node Lookup:virus entry|TI|MM|3422^11^0
00000000|*Instinct|C0021619|321267|MH|RtM via: Instinct;Forced Leaf Node Lookup:instincts|TI|MM|291^8^0;113^8^0
00000000|*Intention|C0162425|319518|MH|RtM via: Intention - mental process;Forced Leaf Node Lookup:intentions|TI|MM|898^9^0
00000000|*Cough|C0010200|317097|MH|RtM via: Coughing;Forced Leaf Node Lookup:coughs|TI|MM|762^5^0
00000000|*Attention|C0004268|310716|MH|RtM via: Attention;Forced Leaf Node Lookup:attentions|TI|MM|10598^9^0
00000000|*Fathers|C0015671|308811|MH|RtM via: Father (person);Forced Leaf Node Lookup:fathers|TI|MM|1702^7^0
00000000|*Water|C0043047|302547|MH|RtM via: Water;checkForceMH Boosted|TI|MM|1313^5^0
00000000|*Phylogeny|C0031797|299598|MH|RtM via: Phylogeny;Forced Lookup:phylogenetic|TI|MM|7048^12^0
00000000|*Baths|C0150141|298050|MH|RtM via: water baths;Forced Leaf Node Lookup:bath|TI|MM|9783^10^0
00000000|New York|C0027976|295791|MH|RtM via: New York (geographic location);Forced Leaf Node Lookup:new york|TI|MM|12055^8^0
00000000|*Industrial Oils|C0021264|295779|MH|Forced Leaf Node Lookup:commercial oils|TI|MM|7885^14^0
00000000|*Vaccination|C0042196|264924|MH|RtM via: Vaccination;Forced Non-Leaf Node Lookup:vaccinations|TI|MM;RC|10942^11^0;4523^11^0
00000000|*T Cells|C0039194|60537|ET|Entry Term Replacement for "T-Lymphocytes";RtM via: T-Lymphocyte;Forced Non-Leaf Node Lookup:t cells|TI|MM|10067^6^0;9944^6^0;9815^6^0;5818^6^0;5344^7^0;5766^6^0
00000000|*Emotions|C0013987|35502|MH|RtM via: Emotions;RtM via: Emotional Strain;RtM via: liking;Forced Non-Leaf Node Lookup:emotions|TI|MM|205^8^0;7541^7^0;6284^6^0;3087^6^0;1129^4^0
00000000|*Pneumonia|C0032285|23043|MH|RtM via: Pneumonia;Forced Non-Leaf Node Lookup:pneumonias|TI|MM|11251^9^0;4451^9^0
00000000|*Fear|C0015726|20313|MH|RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fear|TI|MM|133^4^0
00000000|*Receptors, Cell Surface|C0034800|16113|HM|RtM via: sialic acid receptor;Forced Non-Leaf Node Lookup:cell surface receptors|TI|MM|5051^11^1;5088^9^1;5075^22^0
00000000|*Drug Discovery|C0920472|14886|MH|RtM via: Drug Discovery;Forced Non-Leaf Node Lookup:drug discovery|TI|MM|11716^14^0
00000000|*Peptides|C0030956|10866|MH|RtM via: Peptides;Forced Non-Leaf Node Lookup:peptides|TI|MM|9454^8^0;5715^7^0;5877^8^0;5387^7^0
00000000|*Students|C0038492|9348|MH|RtM via: student;Forced Non-Leaf Node Lookup:students|TI|MM|2376^8^0
00000000|*Cell Membrane|C0007603|5283|MH|RtM via: Cell surface;Forced Non-Leaf Node Lookup:cell membranes|TI|MM|5075^12^0;5201^13^0;6664^13^0
00000000|*Farming|C0001829|4158|ET|Entry Term Replacement for "Agriculture";RtM via: Agriculture;Forced Non-Leaf Node Lookup:farming;Forced Non-Leaf Node Lookup:farms|TI|MM|2029^7^0;970^7^0;7517^5^0
00000000|*Immigrants|C0282163|4134|ET|Entry Term Replacement for "Emigrants and Immigrants";RtM via: Immigrant (person);Forced Non-Leaf Node Lookup:immigrants|TI|MM|1448^10^0;1396^10^0;233^10^0;45^10^0
00000000|Immunoglobulin G|C0020852|972|MH|Forced Non-Leaf Node Lookup:igg||MM;RC|9908^3^0
00000000|Binding Sites|C0005456|1000|MH|Forced Non-Leaf Node Lookup:binding sites||MM|6481^12^0
00000000|Sialic Acids|C0037025|1000|MH|Forced Non-Leaf Node Lookup:sialic acids||MM|5051^11^0;6469^11^0
00000000|DNA|C0012854|1000|MH|Forced Non-Leaf Node Lookup:dna||MM|10969^3^0
00000000|immunology|C1522005|1111|SH|D23.050.550.500 (Immunodominant Epitopes)|TI|MM
00000000|virology|C0205466|1111|SH|G06.920.875.755 (Virus Internalization)|TI|MM
00000000|genetics|C0017399|1111|SH|G05.697 (Phylogeny)|TI|MM
#../projects/marine/res_13.txt
00000000|Adolescent|C0205653|544551|CT|CT Text Lookup: adolescence;CT Text Lookup: teens||MM
00000000|Humans|C0086418|544551|CT|CT Text Lookup: adolescence;CT Text Lookup: children;CT Text Lookup: individuals;CT Text Lookup: men;CT Text Lookup: patient;CT Text Lookup: patients;CT Text Lookup: teens||MM
00000000|Adult|C0001675|544551|CT|CT Text Lookup: adult||MM
00000000|Child|C0008059|544551|CT|CT Text Lookup: children||MM
00000000|Male|C0086582|544551|CT|CT Text Lookup: men||MM
00000000|*Cannabis|C0936079|543551|MH|RtM via: Marihuana;RtM via: Cannabis;RtM via: Cannabis sativa plant;Forced Leaf Node Lookup:marijuanas;Forced Leaf Node Lookup:cannabis;checkForceMH Boosted|TI|MM|10288^9^0;6574^8^0;5668^8^0;5430^8^0;5393^9^0;5155^10^0;4193^9^0;9084^8^0
00000000|*Dronabinol|C0039663|329103|MH|RtM via: Tetrahydrocannabinol;Forced Leaf Node Lookup:tetrahydrocannabinol;Forced Leaf Node Lookup:thc;checkForceMH Boosted|TI|MM|9441^3^0;8701^3^0;8826^3^0;8137^3^0;7917^3^0;7701^3^0;5917^3^0;5690^3^0;5503^3^0;5351^3^0;5448^3^0;5290^3^0;5119^20^0;5141^3^0
00000000|*Cannabidiol|C0006863|267994|MH|RtM via: Cannabidiol;Forced Leaf Node Lookup:cannabidiol;checkForceMH Boosted|TI|MM|5925^11^0;5718^11^0;5581^11^0
00000000|*Medical Marijuana|C0813973|216751|MH|RtM via: Medical Marijuana;Forced Leaf Node Lookup:medicinal marijuana;checkForceMH Boosted|TI|MM|6027^19^0;5873^19^0
00000000|*Hallucinations|C0018524|204737|MH|RtM via: Hallucinations, Auditory;Forced Leaf Node Lookup:auditory hallucinations|TI|MM|6975^23^0
00000000|*Heroin|C0011892|179371|MH|RtM via: Heroin;Forced Leaf Node Lookup:heroin;checkForceMH Boosted|TI|MM|5383^6^0
00000000|*Ships|C0036971|166321|MH|RtM via: Ships;Forced Leaf Node Lookup:ships|TI|MM|3180^4^0;3028^5^0
00000000|*Depression|C0011570|164720|MH|RtM via: Mental Depression;Forced Leaf Node Lookup:depression|TI|MM|7111^10^0
00000000|*Receptors, Cannabinoid|C0054594|137651|MH|RtM via: cannabinoid receptor;checkForceMH Boosted|TI|MM|8084^21^0
00000000|*Mental Health|C0025353|125630|MH|RtM via: mental health;Forced Leaf Node Lookup:mental health|TI|MM|4269^13^0
00000000|*Delusions|C0011253|123737|MH|RtM via: Delusion of persecution;Forced Leaf Node Lookup:delusions|TI|MM|6949^21^0;6961^9^0
00000000|*Motivation|C0026605|115859|MH|RtM via: Incentives;Forced Leaf Node Lookup:incentives|TI|MM|5030^9^0
00000000|*Multiple Sclerosis|C0026769|112499|MH|RtM via: Multiple Sclerosis;Forced Lookup:multiple sclerosis|TI|MM|6176^18^0
00000000|*Social Change|C0037400|111647|MH|RtM via: Social Development;RtM via: Modernization;Forced Leaf Node Lookup:social developments|TI|MM|8358^18^0;2360^9^0
00000000|*Life Change Events|C0023670|111200|MH|RtM via: Life Experiences;Forced Leaf Node Lookup:life experiences|TI|MM|4056^15^0
00000000|*Investments|C0021953|108506|MH|RtM via: Investments;Forced Leaf Node Lookup:investments|TI|MM|3591^10^0;2305^8^0
00000000|*Bankruptcy|C0079008|108398|MH|RtM via: Bankruptcy;Forced Leaf Node Lookup:bankruptcies|TI|MM|3476^12^0
00000000|*Comprehension|C0162340|104375|MH|RtM via: Comprehension;Forced Leaf Node Lookup:comprehension|TI|MM|491^13^0
00000000|*Anticonvulsants|C0003286|103520|MH|RtM via: Anticonvulsants;Forced Leaf Node Lookup:anticonvulsants|TI|MM|5623^14^0
00000000|butane|C0006474|93627|NM|RtM via: Butane|TI|MM|5409^6^0
00000000|*Butanes|C0006476|93626|HM|RtM via: Butanes;Forced Leaf Node Lookup:butanes|TI|MM|5409^6^0
00000000|*Smoke|C0037366|93569|MH|RtM via: Smoke;RtM via: Tobacco smoke;checkForceMH Boosted|TI|MM|4078^6^0
00000000|*Military Personnel|C0026126|93275|MH|RtM via: Coast Guard Personnel;RtM via: Coastguard;Forced Leaf Node Lookup:coast guard|TI|MM|2513^11^0;658^11^0
00000000|*Leadership|C0023181|89879|MH|RtM via: Leadership;Forced Leaf Node Lookup:leadership|TI|MM|4355^10^0
00000000|Hong Kong|C0019907|78782|MH|RtM via: Hong Kong;Forced Leaf Node Lookup:hong kong|TI|MM|2844^9^0
00000000|Monaco|C0026405|78776|MH|RtM via: Monaco;Forced Leaf Node Lookup:monaco|TI|MM|3578^6^0
00000000|Singapore|C0037173|78776|MH|RtM via: Singapore;Forced Leaf Node Lookup:singapore|TI|MM|2833^9^0
00000000|*Seizures|C0036572|78770|MH|Forced Leaf Node Lookup:seizures|TI|MM|6166^8^0
00000000|*Cancer|C0006826|7203|ET|Entry Term Replacement for "Neoplasms";RtM via: Malignant Neoplasms;RtM via: Primary malignant neoplasm;Cancer/Neoplasm in Title, none specified|TI|MM|4807^6^0
00000000|Canada|C0006823|9|MH|RtM via: Canada;RtM via: canadian;Forced Non-Leaf Node Lookup:canadian|TI;Geo Lookup:canadians|MM|6681^6^0;4132^6^0;3702^6^0;2870^6^0;2057^6^0;1608^6^0;996^6^0;10445^9^0;4901^9^0;4474^9^0;4204^8^0;3662^8^0;2504^8^0;2535^8^0;862^8^0;649^8^0;680^8^0;750^9^0
00000000|*Psychotic Disorders|C0033975|193236|MH|RtM via: Psychotic Disorders;RtM via: Nonorganic psychosis;RtM via: Psychotic symptom;Forced Non-Leaf Node Lookup:psychotic disorders|TI|MM|10181^9^0;9333^9^0;8847^9^0;7709^19^0;8397^18^0;6921^18^0;7176^18^0;6831^18^0
00000000|*Antipsychotic Agents|C0040615|91500|MH|RtM via: Antipsychotic Agents|TI|MM|5608^13^0
00000000|*Schizophrenia|C0036341|90183|MH|RtM via: Schizophrenia;Forced Non-Leaf Node Lookup:schizophrenias|TI|MM|10057^13^0;9517^13^0;9358^13^0;8732^13^0;8515^13^0;8214^13^0;7573^13^0;7344^13^0;7249^13^0;6742^13^0;3939^13^0
00000000|*Psychiatry|C0033873|88956|MH|RtM via: Psychiatrist;RtM via: Psychiatry Specialty;Forced Non-Leaf Node Lookup:psychiatrists;Forced Non-Leaf Node Lookup:psychiatry|TI|MM|9925^12^0;10601^10^0
00000000|*Anxiety|C0003467|66228|MH|RtM via: Anxiety;Forced Non-Leaf Node Lookup:anxiety|TI|MM|7123^7^0;6346^7^0
00000000|*Cognitive Impairment|C0009241|62955|ET|Entry Term Replacement for "Cognition Disorders";RtM via: Cognition Disorders;RtM via: Impaired cognition;Forced Non-Leaf Node Lookup:cognitive impairments|TI|MM|6851^20^0
00000000|*Relapse|C0035020|57129|ET|Entry Term Replacement for "Recurrence";RtM via: Recurrence;RtM via: Relapse;Forced Non-Leaf Node Lookup:relapses|TI|MM|1122^9^0;9495^7^0
00000000|*Brain|C0006104|54036|MH|RtM via: Brain;RtM via: brain cell;RtM via: Entire brain;Forced Non-Leaf Node Lookup:brains|TI|MM|9692^6^0;8055^5^0;7970^15^0;6789^5^0;7785^11^0;4559^5^0;5817^5^0;7414^5^0;7761^5^0;10524^5^0
00000000|*Mental Health Services|C0025355|45738|MH|RtM via: Mental Health Services;Forced Non-Leaf Node Lookup:mental health services|TI|MM|6655^22^0
00000000|*Patient Care|C0017313|33609|MH|RtM via: patient care;Forced Non-Leaf Node Lookup:patient care|TI|MM|9062^12^0
00000000|*Brain Injury|C0270611|32571|ET|Entry Term Replacement for "Brain Injuries";RtM via: Brain Injuries;Forced Non-Leaf Node Lookup:brain injury|TI|MM|9380^12^0
00000000|*Parents|C0030551|28794|MH|RtM via: parent;Forced Non-Leaf Node Lookup:parents|TI|MM|5189^7^0;4645^7^0
00000000|*Government|C0018104|24645|MH|RtM via: Government;Forced Non-Leaf Node Lookup:governments|TI|MM|2043^10^0;1594^10^0
00000000|*Hygiene|C0020405|21624|MH|RtM via: Hygiene;Forced Non-Leaf Node Lookup:hygiene|TI|MM|6515^7^0
00000000|*Prognosis|C0033325|15432|MH|RtM via: Forecast of outcome;Forced Non-Leaf Node Lookup:prognosis|TI|MM|9207^9^0
00000000|*Alcohols|C0001975|14082|MH|RtM via: Alcohols;Forced Non-Leaf Node Lookup:alcohols|TI|MM|4762^7^0
00000000|*Neurons|C0027882|8517|MH|RtM via: Neurons;Forced Non-Leaf Node Lookup:neurons|TI|MM|8044^7^0;7798^7^0
00000000|*Pain|C0030193|7071|MH|RtM via: Treatment pain;Forced Non-Leaf Node Lookup:pain|TI|MM|6210^9^1;6230^4^1
00000000|*Exposures, Environmental|C0014412|6510|ET|Entry Term Replacement for "Environmental Exposure";RtM via: Environmental Exposure;Forced Non-Leaf Node Lookup:environmental exposures|TI|MM|7438^23^0
00000000|*Running|C0035953|6339|MH|RtM via: Running (physical activity);Forced Non-Leaf Node Lookup:runnings|TI|MM|3423^7^0
00000000|Crowns|C3853546|1000|MH|Forced Non-Leaf Node Lookup:crowns||MM|1789^5^0
00000000|therapy|C0087111|165576|SH|RtM via: therapeutic aspects;therapy (C0039798);RtM via: Cardiac Lead Procedure;Therapeutics (C0087111);RtM via: Therapeutic procedure;Therapeutics (C0087111)|TI|MM
00000000|economics|C0013557|1111|SH|N03.219.702 (Investments)|TI|MM
#../projects/marine/res_2.txt
00000000|Child|C0008059|155436|CT|CT Text Lookup: children||MM
00000000|Humans|C0086418|155436|CT|CT Text Lookup: children||MM
00000000|Male|C0086582|155436|CT|CT Text Lookup: he||MM
00000000|United States|C0041703|155436|CT|RtM via: United States;Forced Leaf Node Lookup:american;Forced Non-Leaf Node Lookup:united states|TI|MM|9481^13^0;8019^3^0;8060^3^0;7551^3^0;7424^3^0;7226^13^0;6794^3^0;6629^3^0;6520^3^0;6065^3^0;5837^13^0;5174^3^0;4918^3^0;4764^3^0;4879^3^0;4681^3^0;4452^3^0;4226^3^0;1040^3^0;4268^8^0;4527^8^0;5413^8^0;8225^8^0;9639^8^0
00000000|*Economic Development|C0013552|154436|MH|RtM via: Economic Development;RtM via: Economic Growth;Forced Leaf Node Lookup:economic development;Forced Leaf Node Lookup:economic growth|TI|MM|12562^20^0;8580^15^0;4631^15^0
00000000|*Natural Gas|C0017109|131738|MH|RtM via: Natural Gas;Forced Leaf Node Lookup:natural gas;checkForceMH Boosted|TI|MM|12476^3^0;11676^11^0;11471^3^0;11405^3^0;11226^11^0;10425^11^0;10249^11^0;10104^11^0;9877^11^0;9688^11^0;9439^11^0;9302^11^0;9111^11^0;8521^11^0;8937^11^0
00000000|*Federal Government|C0015737|92911|MH|RtM via: Federal Government;Forced Leaf Node Lookup:federal government|TI|MM|1979^18^0
00000000|*Emigration and Immigration|C0013976|90589|MH|RtM via: Immigration;Forced Leaf Node Lookup:immigrations|TI|MM|3899^11^0;3725^11^0;3352^11^0;2837^11^0;2139^11^0;2421^11^0;1931^11^0;311^11^0
00000000|*Marriage|C0024841|89824|MH|RtM via: Marriage, life event;Forced Leaf Node Lookup:marriages|TI|MM|3609^8^0
00000000|*Investments|C0021953|81565|MH|RtM via: Investments;Forced Leaf Node Lookup:investments|TI|MM|9058^10^0;6849^10^0;4714^10^0;364^10^0
00000000|*Motivation|C0026605|80740|MH|RtM via: Incentives;Forced Leaf Node Lookup:incentives|TI|MM|7898^9^0
00000000|*State Government|C0038191|76687|MH|RtM via: State Government;Forced Leaf Node Lookup:provincial government|TI|MM|9156^21^0
00000000|*Housing|C0020056|76000|MH|RtM via: Housing;Forced Leaf Node Lookup:housing|TI|MM|3453^7^0;3289^7^0;1305^7^0;1256^7^0;923^7^0;678^7^0;378^7^0;270^7^0;160^7^0
00000000|*Personal Satisfaction|C0031206|73816|MH|RtM via: Satisfaction;Forced Leaf Node Lookup:satisfaction|TI|MM|2904^12^0
00000000|*Global Warming|C0206217|71356|MH|RtM via: Global Warming;Forced Leaf Node Lookup:global warming|TI|MM|6910^14^0
00000000|*Cultural Diversity|C0282495|71176|MH|RtM via: Cultural Diversity;Forced Leaf Node Lookup:multiculturalisms|TI|MM|4118^16^0;3015^13^0
00000000|*Cities|C0008848|70993|MH|RtM via: Cities;Forced Leaf Node Lookup:cities|TI|MM|10965^6^0
00000000|*Coal|C0009131|70243|MH|RtM via: Coal;checkForceMH Boosted;Forced Non-Leaf Node Lookup:coal|TI|MM|11357^4^0;11060^4^0
00000000|*Military Personnel|C0026126|65794|MH|RtM via: Military Personnel;RtM via: Clinic / Center - Military;Forced Leaf Node Lookup:military|TI|MM|6634^8^0;6455^8^0
00000000|*Attention|C0004268|65077|MH|RtM via: Attention;Forced Leaf Node Lookup:attentions|TI|MM|5041^9^0;4277^9^0
00000000|*Oil and Gas Fields|C3179122|64318|MH|RtM via: Gas Fields;Forced Leaf Node Lookup:gas fields|TI|MM|9586^10^0;8945^10^0
00000000|*Lawyers|C0086530|64306|MH|RtM via: Lawyer (occupation);Forced Leaf Node Lookup:lawyers|TI|MM|2443^7^0
00000000|*Construction Industry|C0682031|63910|MH|RtM via: Construction Industry;Forced Leaf Node Lookup:construction industry|TI|MM|2155^21^0
00000000|*Developed Countries|C0282613|61459|MH|RtM via: Developed Countries;Forced Leaf Node Lookup:developed nations|TI|MM|7575^17^0
00000000|*Consultants|C0009817|61192|MH|RtM via: Consultant;Forced Leaf Node Lookup:consultants|TI|MM|2452^11^0
00000000|*Clergy|C0008935|56095|MH|RtM via: Ministers;Forced Leaf Node Lookup:ministers|TI|MM|8321^8^0
00000000|*Leadership|C0023181|55264|MH|RtM via: Leadership;Forced Leaf Node Lookup:leadership|TI|MM|4936^10^0
00000000|*Appetite|C0003618|55066|MH|RtM via: Desire for food;Forced Leaf Node Lookup:appetites|TI|MM|11445^8^0
00000000|*Consensus|C0376298|54808|MH|RtM via: Consensus;Forced Leaf Node Lookup:consensus|TI|MM|7299^9^0
00000000|*Physicians, Family|C1704221|54328|MH|RtM via: Physicians, Family;Forced Leaf Node Lookup:family physicians|TI|MM|4034^17^0
00000000|*Universities|C0041740|53923|MH|RtM via: Universities;Forced Leaf Node Lookup:university|TI|MM|4204^10^0;4071^10^0
00000000|*Cost-Benefit Analysis|C0010174|52921|MH|RtM via: Cost Benefit;Forced Leaf Node Lookup:cost benefit|TI|MM|11532^13^0
00000000|British Columbia|C0006193|51745|MH|RtM via: British Columbia;Forced Leaf Node Lookup:british columbia|TI|MM|12894^16^0;8869^16^0;8494^16^0
00000000|*Language|C0023008|50878|MH|RtM via: English Language;Forced Leaf Node Lookup:languages|TI|MM|2513^7^0;2533^8^0
00000000|*Carbon|C0007009|50131|MH|RtM via: Carbon;checkForceMH Boosted;Forced Non-Leaf Node Lookup:carbon|TI|MM|12726^6^0;11308^6^0;8846^6^0
00000000|*Water|C0043047|49942|MH|RtM via: Water;checkForceMH Boosted|TI|MM|11850^5^0
00000000|*Goals|C0018017|43231|MH|Forced Leaf Node Lookup:goal|TI|MM|6500^4^0;12779^4^0
00000000|*Politics|C0032382|41622|MH|RtM via: Politics;RtM via: Voting;RtM via: election;Forced Non-Leaf Node Lookup:politics|TI|MM|3313^8^0;3741^4^0;8235^5^0;3059^8^0
00000000|*Wages|C0036064|38841|ET|Entry Term Replacement for "Salaries and Fringe Benefits";RtM via: Wages;RtM via: pay;Forced Non-Leaf Node Lookup:wages|TI|MM|3961^5^0;5647^3^0;2561^4^0
00000000|*Fund|C0016820|38349|ET|Entry Term Replacement for "Financial Management";RtM via: Funds;Forced Non-Leaf Node Lookup:fund|TI|MM|9212^4^0
00000000|*Foreigners|C1955874|35511|ET|Entry Term Replacement for "Emigrants and Immigrants";RtM via: Foreigners;RtM via: Immigrant (person);Forced Non-Leaf Node Lookup:foreigners;Forced Non-Leaf Node Lookup:immigrants|TI|MM|389^10^0;2929^10^0;2613^9^0;2215^10^0;2390^10^0;2589^10^0;2699^10^0;701^10^0;145^10^0;30^10^0
00000000|*Taxes|C0039371|34236|MH|RtM via: Taxes;Forced Non-Leaf Node Lookup:taxes|TI|MM|3948^5^0
00000000|*Parents|C0030551|29238|MH|RtM via: parent;Forced Non-Leaf Node Lookup:parents|TI|MM|3529^7^0;2733^7^0;2751^7^0
00000000|*United Nations|C0041701|29217|MH|RtM via: United Nations;RtM via: World Bank;Forced Non-Leaf Node Lookup:united nations;Forced Non-Leaf Node Lookup:world bank|TI|MM|6120^14^0;6140^10^0
00000000|*Transportation|C0040756|24603|MH|RtM via: transportation industry;Forced Non-Leaf Node Lookup:transportation|TI|MM|9376^14^0
00000000|*Terrorism|C0039565|21915|MH|RtM via: Terrorism;Forced Non-Leaf Node Lookup:terrorism|TI|MM|7134^9^0
00000000|*Fears|C0015726|14001|ET|Entry Term Replacement for "Fear";RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fears|TI|MM|8074^5^0
00000000|*National Security|C0282352|13467|ET|Entry Term Replacement for "Security Measures";RtM via: National Security;Forced Non-Leaf Node Lookup:national security|TI|MM|6525^17^0
00000000|*Electricity|C0013790|12543|MH|RtM via: Electricity;Forced Non-Leaf Node Lookup:electricity|TI|MM|11071^10^0;10453^8^0;10561^11^0
00000000|*Myopia|C0027092|6624|MH|RtM via: Myopia;Forced Non-Leaf Node Lookup:myopias|TI|MM|7605^6^0
00000000|Renewable Energy|C3178762|1000|MH|Forced Non-Leaf Node Lookup:renewable energy||MM|11598^16^0
00000000|Oceans and Seas|C0028815|1000|MH|Forced Non-Leaf Node Lookup:oceans||MM|1026^5^0
00000000|Warfare|C0683650|1000|MH|Forced Non-Leaf Node Lookup:war||MM|5824^3^0
00000000|Islands|C0022130|25260|MH|RtM via: Islands|TI|MM|11562^7^0
00000000|China|C0008115|16056|MH|RtM via: China|TI|MM|11269^6^0;10781^5^0;6207^6^0
00000000|Asia|C0003980|8841|MH|RtM via: Asia|TI|MM|11457^4^0;9721^4^0;8797^4^0
00000000|Russia|C0035970|1947|MH|RtM via: Russia|TI|MM|6284^6^0
00000000|economics|C0013557|1111|SH|N03.219.206 (Economic Development)|TI|MM
#../projects/marine/res_3.txt
00000000|Female|C0015780|95669|CT|CT Text Lookup: female;CT Text Lookup: her;CT Text Lookup: pregnant;CT Text Lookup: she;CT Text Lookup: sister||MM
00000000|Male|C0086582|95669|CT|CT Text Lookup: he||MM
00000000|Humans|C0086418|95669|CT|CT Text Lookup: human;CT Text Lookup: youth;CT Text Lookup: youths||MM
00000000|Adolescent|C0205653|95669|CT|CT Text Lookup: youth;CT Text Lookup: youths||MM
00000000|Animals|C0003062|95669|CT|Equidae;CT Treecode Lookup: B01.050.150.900.649.709 (Equidae)||MM
00000000|*Ibuprofen|C0020740|94669|MH|RtM via: Motrin;Forced Leaf Node Lookup:motrin;checkForceMH Boosted|TI|MM|1154^6^0
00000000|*Acetaminophen|C0000970|86146|MH|RtM via: Tylenol;Forced Leaf Node Lookup:tylenol;checkForceMH Boosted|TI|MM|1142^7^0
00000000|*Intention|C0162425|78892|MH|RtM via: Intention - mental process;Forced Leaf Node Lookup:intentions|TI|MM|6518^10^0;6080^9^0;5589^9^0
00000000|*Anniversaries and Special Events|C0003098|73492|MH|RtM via: Anniversaries;Forced Leaf Node Lookup:anniversaries;Forced Leaf Node Lookup:anniversary|TI|MM|3818^13^0;3648^11^0
00000000|*Chills|C0085593|72776|MH|RtM via: Chills;Forced Leaf Node Lookup:chills|TI|MM|1499^6^0
00000000|*Edible Grain|C4042883|66364|MH|RtM via: Cereals;Forced New Lookup:cereal;checkForceMH Boosted|TI|MM|3392^6^0
